Sequence Name,mcg,gvh,lip,chg,aac,alm1,alm2,Protein Site
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
APT_ECOLI,0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
DLDH_ECOLI,0.56,0.51,0.48,0.5,0.34,0.37,0.46,cp
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,cp
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,cp
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
ADI_ECOLI,0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
CSPA_ECOLI,0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,cp
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
EFG_ECOLI,0.4,0.29,0.48,0.5,0.42,0.35,0.44,cp
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,cp
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,cp
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,cp
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
DAPD_ECOLI,0.21,0.51,0.48,0.5,0.5,0.32,0.41,cp
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
EFTS_ECOLI,0.24,0.35,0.48,0.5,0.31,0.19,0.31,cp
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
ALKH_ECOLI,0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,cp
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,cp
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
AMPD_ECOLI,0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,cp
